row,col,tdac_code,tup,mu,sigma
5,4,24,0,24.81,1.2
5,4,31,0,14.0,1.54
5,5,0,1,59.29,1.41
5,5,8,1,66.38,2.05
5,5,16,1,75.05,1.1
5,5,24,1,82.97,1.8
5,5,31,1,90.7,1.51
5,5,0,0,61.2,1.59
5,5,8,0,53.15,1.3
5,5,16,0,45.59,1.57
5,5,24,0,36.5,1.53
5,5,31,0,28.99,1.76
5,6,0,1,56.1,1.82
5,6,8,1,63.12,1.93
5,6,16,1,70.59,1.63
5,6,24,1,79.22,1.74
5,6,31,1,85.3,1.51
5,6,0,0,57.46,2.42
5,6,8,0,50.66,1.82
5,6,16,0,42.8,1.47
5,6,24,0,34.77,1.81
5,6,31,0,27.38,2.07
5,7,0,1,64.02,2.53
5,7,8,1,70.2,1.83
5,7,16,1,79.12,1.93
5,7,24,1,87.0,1.33
5,7,31,1,93.63,2.13
5,7,0,0,65.85,2.0
5,7,8,0,58.0,1.54
5,7,16,0,47.47,1.97
5,7,24,0,39.3,1.72
5,7,31,0,30.2,1.45
6,0,0,1,50.16,1.76
6,0,8,1,56.76,1.67
6,0,16,1,64.4,1.38
6,0,24,1,73.5,1.34
6,0,31,1,80.1,1.39
6,0,0,0,52.3,1.51
6,0,8,0,43.86,1.53
6,0,16,0,36.47,1.02
6,0,24,0,27.5,0.99
6,0,31,0,17.94,2.87
6,1,0,1,53.3,1.87
6,1,8,1,60.04,1.38
6,1,16,1,65.1,1.46
6,1,24,1,72.1,1.46
6,1,31,1,77.38,2.08
6,1,0,0,56.1,1.39
6,1,8,0,49.69,1.08
6,1,16,0,43.0,1.54
6,1,24,0,36.72,1.13
6,1,31,0,30.11,1.69
6,2,0,1,49.67,1.89
6,2,8,1,55.93,1.96
6,2,16,1,63.64,1.76
6,2,24,1,70.85,1.3
6,2,31,1,77.49,2.02
6,2,0,0,51.24,1.67
6,2,8,0,44.4,1.38
6,2,16,0,36.02,1.62
6,2,24,0,28.3,1.26
6,2,31,0,18.43,2.97
6,3,0,1,47.52,0.6
6,3,8,1,53.88,1.93
