row,col,delta_tup1,delta_tup0
7,1,29.6991117538782,-195.44002787371716
7,2,30.476496094074918,-31.55394781119621
7,3,30.1102903549316,-33.72553193658765
7,4,31.512831744498314,-195.89537579316934
7,5,31.858642501503702,-32.19843481501999
7,6,31.00474778623459,-34.36357113360596
7,7,28.509057503818575,-30.00535005562102
8,0,28.8790960328717,-33.9691160729013
8,1,31.666595732879443,-36.774858433722656
8,2,28.191568242098356,-30.920377373591162
8,3,31.996464806776437,-35.09413199588299
8,4,32.14161934284764,-190.40421775766865
8,5,24.545322967212613,-27.109984876798705
8,6,30.6308212515901,-30.012806630336076
8,7,20.920540302813343,-25.191514537370846
9,0,28.604705734604757,-31.780865055067537
9,1,26.23213567054443,-28.955628712873192
9,2,32.67742607051242,-194.00954944748025
9,3,32.70216636034524,-187.30569402145318
9,4,32.8784122197133,-35.87411461918451
9,5,28.216687914033557,-31.854675663427976
9,6,33.52175181417913,-37.63168023435482
9,7,25.51542449518191,-29.621140188508516
10,0,31.643633122737775,-32.213209800826306
10,1,24.32866468415464,-25.996560862135244
10,2,32.52789180262137,-196.5041345201536
10,3,22.49666869143507,-23.92157024392986
10,4,31.08092414592825,-31.466130977627703
10,5,24.129164280827077,-26.70419665931463
10,6,37.14391450385957,-198.99333716171392
10,7,25.535174798256364,-28.697805155960275
11,0,27.89848804407702,-27.983172230240204
11,1,28.500148425248177,-194.74803329905296
11,2,30.464091168001865,-32.72598400960685
11,3,32.94831137048332,-197.00773642276553
11,4,27.01071062409654,-31.309961191997562
11,5,26.621382309465417,-28.68495177445535
11,6,18.17227504420579,-21.567568966488302
11,7,37.93792010035499,-200.68697193751296
12,0,28.00732249283317,-30.495396318906913
12,1,42.49407514518057,-48.523199302563256
12,2,29.65369603721618,-37.67130098637681
12,3,24.392957776787668,-30.25538510585575
12,4,38.950918858449995,-204.23667743784776
12,5,30.899397651039806,-193.92271389581765
12,6,28.998598355377553,-30.920837945257546
12,7,23.485608021698965,-26.20045307740076
13,0,30.09068601465625,-33.239957248662066
13,1,27.993378103818365,-29.470520959273934
13,2,28.134233729945166,-33.1239522801609
13,3,30.435157997207142,-33.22756038468932
13,4,38.065564986261286,-199.97212549126374
13,5,33.702592095124814,-34.654952610664765
13,6,29.138284056650825,-31.398413138689804
13,7,31.691057476935768,-32.79621820269662
14,0,26.29688790265589,-29.838736077918895
14,1,30.854713238098462,-32.995906809807906
14,2,35.630946283047045,-33.21966310814539
14,3,24.031777995924074,-28.17996162275544
14,4,26.42783217322971,-30.451231774786166
14,5,26.57287133234012,-30.937743321700417
14,6,31.70200451207984,-193.15925812756603
14,7,24.252039786968815,-28.64180828304887
15,0,32.94784676236253,-34.59730797571869
15,1,30.093351225948687,-33.301802614870354
15,2,29.11165786978713,-34.43741136905423
15,3,38.00789068268609,-41.25534006674184
15,4,20.960662006230365,-20.473362567673725
15,5,20.144930204265137,-25.11496417743824
15,6,28.48857111568607,-28.800011019920184
15,7,30.285676271296033,-192.98599075186095
16,0,26.35882484599763,-35.02353563825933
16,1,32.79196518376737,-34.53683387619621
16,2,30.147378273708945,-196.60202413663404
16,3,22.31463846022273,-26.990535719962846
16,4,27.487563646531555,-33.90680096121757
